,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,19,背景画像名
79,loxy,魔王様はね、ヴォルカスっていうの！カッコよくて、優しくて、強くて、なんでも知ってて！ほんっっっとに理想の男性！,,,R,smile,talk,,53,
80,loxy,私が一人冒険に出てって怪我とかすると、すぐ飛んでくる！なんだか、ずーっと見守ってくれるような気がするんだ！,,,R,smile,talk,,53,
81,loxy,きっと神話の騎士様なんじゃないかなって！私は思うの。大切な本で、お家に置いてきたから絶対に１回は読んでね！,,,R,smile,talk,,9,
82,volcus,・・・懐かしいな。,,,L,smile,talk,,48,
83,loxy,うーん。他にも書きたいことは一杯あるんだけどね！えっとね、一つだけ、ママに謝りたいことがあるの。,,,R,smile,talk,,43,
84,loxy,最初に元気って書いたのは嘘。きっとママがこれを読む頃には私はもう死んでいるんだと思う。,,,R,smile,talk,,59,
85,loxy,魔王のお嫁さんなんてすごいことしちゃったから一生分の幸せを使い切っちゃったのかも。でもとっても幸せで楽しかったなって。,,,R,smile,talk,,50,
86,loxy,ママや周りのみんなを残して先立っちゃうことが心残りだけど、私はほんっとうに楽しかったなぁって思うの！,,,R,smile,talk,,26,
87,loxy,だから悲しまないでね。先に行っちゃってごめんなさい。,,,R,smile,talk,,57,
88,loxy,ママ、産んでくれて、わがままをたっくさん聞いてくれて、いっっぱい我慢してくれて、ありがとう！ほっとうにありがとう！,,,R,smile,talk,,20,
89,eleth,・・・いつ読んでも、涙が出てくるんです。,,,R,cry,talk,,49,
90,loxy,しみっぽくなっちゃったね。あ！あとね！私子供が生まれました。名前はイーラって名前にしようと思うの。,,,R,normal,talk,,58,
91,loxy,ヴォルカスの下の名前がディアブロ ローイ、これは魔物の王って意味なんだって！で、私がリュウール、これが輝きって意味。,,,R,normal,talk,,52,
92,loxy,でね、そこに２つ意味を足したいの。イーラ ディアブロ リュウール ドレって名前！どう？かっこいいでしょ！,,,R,normal,talk,,57,
93,loxy,イーラが時代とか象徴って意味！ドレが金色って意味！私の友達にママのところに連れていってもらうようにお願いしたから、,,,R,normal,talk,,19,
94,loxy,私と思ってしっかり面倒見てあげてよね！,,,R,normal,talk,,16,
95,volcus,そのようなことを考えておったか。,,,L,smile,talk,,46,
96,loxy,私、魔王城から見る朝日が本当に綺麗で好きだったの。人と魔族、二つの大陸一緒に明かりが差すの！,,,R,smile,talk,,54,
97,loxy,ずっと戦争が続いてるけど、お日様は平等なのよ。私もそんな風にありたいと思ったし、イーラにもそうなって欲しい。,,,R,smile,talk,,45,
98,loxy,ちょっと大袈裟かな。あははー...。で、その朝日が大好きだったから、そういう名前にしたの！,,,R,smile,talk,,56,
99,loxy,うん！一番大事なことは伝えたからこれでおしまい！我ながらまとまりないなー。本当に迷惑かけてばっかりだったけどさ。,,,R,smile,talk,,13,
99,loxy,ママ、ありがとう、大好き！,,,R,smile,talk,,7,
100,volcus,ふむ。終いか？,,,L,smile,talk,,15,
101,eleth,・・・いいえ、続きがあります。,,,R,cry,talk,,3,
102,volcus,ほう。,,,L,smile,talk,,48,
103,loxy,追伸！イーラへ！一度も会えなくてごめんね。顔が見れないのが残念だけど、きっと可愛いんでしょうね！,,,R,smile,talk,,54,
103,loxy,私の子だから！魔王様は私の旦那だから、会ったらちゃんと挨拶すること！それと、ぜったいに好きになっちゃダメよ！,,,R,smile,talk,,54,
103,loxy,・・・というのは冗談でー...。自由に生きてね。ばあばはきっと心配すると思うけど、あなたを見守ってくれます。,,,R,smile,talk,,27,
103,loxy,あなたがやりたいことたっくさんして、たっくさん笑って！,,,R,smile,talk,,53,
103,loxy,私ね、あなたとヴォルカスと一緒に魔王城からこの朝日を見てみたかったなぁって、それが一番の心残りかな...。,,,R,smile,talk,,44,
103,loxy,さて！あなたはあなたの思うように生きなさい。私もばあばもあなたのことを応援しているから。,,,R,smile,talk,,57,
103,loxy,ピンチになってもヴォルカスがあなたのことをきっと守ってくれるわ。だから臆することなく色んなことに挑戦するのよ！！！,,,R,smile,talk,,42,
103,loxy,いけ！若者よ！臆すことなく前に進むのだー！！わっはっはー！あなたの母、ロクシーより。,,,R,smile,talk,,9,
104,volcus,立派な便りである。,,,L,smile,talk,背景切り替え/BGM切り替え(Cheerful_kids),10,012_treatment_plase
105,eleth,うふふ。娘らしくて。,,,R,smile,talk,,45,
106,era,ぐすっ....うっ...うっ...うわああああん！ばあばあああ！（エリスに抱きついてなく）,,,L,cry,talk,,5,
107,eleth,あらあら。,,,R,confuse,talk,,11,
108,era,ごめんなさい！ばあば！,,,L,cry,talk,,4,
109,eleth,はいな。,,,R,normal,talk,,12,
110,era,私！ヴェルと旅がしたい！,,,L,smile,talk,,6,
111,eleth,そうですか。,,,R,smile,talk,,16,
112,era,私！いろんなもの、みてみたいの！,,,L,smile,talk,,19,
113,eleth,うふふ。そんな日が来ると思ってたさね。,,,R,smile,talk,,22,
114,era,わあああん！ばあば、大好き、ばあばああああ！,,,L,cry,talk,,16,
115,eleth,あらあら。私も大好きよ。イーラ。,,,R,smile,talk,,37,
116,era,うわああああん、ばあばあああああああああああ（たっぷり泣きついてください）,,,L,cry,talk,,13,
117,eleth,(泣きつくイーラをあやす),,,R,smile,talk,,10,
118,,ーーひとしきり泣いて,,,,,,,15,
119,volcus,ふむ。イーラよ。落ち着いたか。,,,L,smile,talk,,19,
120,era,（ぐすぐす言いながら）・・・うん...,,,L,cry,talk,,16,
121,volcus,して、行きたい場所は決まったか。,,,L,smile,talk,,14,
122,era,うん...魔王城に行きたい。,,,L,smile,talk,,15,
123,volcus,暫くは帰ってこれないが良いか。,,,L,smile,talk,,7,
124,era,うん！大丈夫！,,,L,smile,talk,,16,
125,volcus,ふむ...とのことだ、エリスよ。,,,L,smile,talk,,30,
126,eleth,あらあら。わかりました。しっかり面倒を見てあげてくださいね。,,,R,smile,talk,,10,
127,volcus,あぁ..任せてくれ。,,,L,smile,talk,,10,
128,era,よろしくね！ヴェル！,,,L,smile,talk,,3,
129,volcus,うむ。,,,L,smile,talk,,30,
130,era,ねえヴェル。１つだけ、持っていきたいものがあるんだけどいい？,,,L,smile,talk,,6,
131,volcus,かまわない。,,,L,smile,talk,,26,
132,era,やった！すぐとってくるねー！（家に向かって走り出す）,,,L,smile,talk,,5,
133,eleth,イーラや。,,,R,normal,talk,,8,
134,era,なあに？ばあば！,,,L,normal,talk,,33,
135,eleth,カバンにちょっとした荷物を入れておいたさね。それも持っていきない。,,,R,normal,talk,,28,
136,era,はーい！・・・（家のドアに入る前に）ばあば！ありがとー！,,,L,smile,talk,,15,
137,eleth,うふふ...では、頼みますね。,,,R,smile,talk,,3,
138,volcus,ふむ。,,,L,smile,talk,,22,
139,eleth,ところで...旅の支度金はあるのでしょうか。,,,R,normal,talk,,6,
140,volcus,・・・ふむ。,,,L,confuse,talk,,13,
141,eleth,あら...ヴェル...様？,,,R,confuse,talk,,#REF!,
143,,ーー旅団の大型魔導移送車,,,,,none,背景切り替え/BGM切り替え(自然の中でゆったりと),40,023_brigade_car
144,orend,へぇ〜！それで俺たちに同行したくてフレーンドゥの俺に声をかけてきたってことかあ！,,,R,smile,talk,,4,
145,volcus,そうだ。,,,L,smile,talk,,59,
146,orend,いんやー！まさか出会ったその翌々日に同行！トゥギャザー！になるなんてえ！ヴェェルと俺は運命の糸で結ばれているんだねえ！,,,R,smile,talk,,9,
147,volcus,私はそうは思わん。,,,L,smile,talk,,59,
148,orend,おやおやあ？ヴェルのそういうところ、俺嫌いじゃないなぁ！あっはっはー！・・・ところでところで！！イィィィィィラちゃん！,,,R,smile,talk,,4,
149,era,へ！！？,,,L,normal,talk,※驚き顔,60,
150,orend,ヴェルゥゥゥゥは面白いなあ！こーんなちびっこを連れてきたと思ったら、まっさか、魔王の娘だなんてええ！イィィィィィラちゃん,,,R,normal,talk,,22,
,orend,あなたは本当にどーたー！魔王の娘なのかあい！,,,R,normal,talk,,26,
151,era,わ、わわ、わかりません...。でも、多分そうです..,,,L,confuse,talk,,4,
152,orend,WoW！,,,R,smile,talk,,15,
153,era,こ、怖がったりしないんですか？,,,L,confuse,talk,,50,
154,orend,なんで怖がる必要があるんだぁい！こーんなにちっちゃくてかわいい子を前に怖がってちゃあ損じゃないかあ！,,,R,unique,talk,,30,
154,orend,ドントワォーリー！ドントワォーリー！っはっは！レディお手を。,,,R,unique,talk,,4,
155,volcus,やめろ。,,,L,angry,talk,,40,
156,orend,はっはっはー！！こっちの大男の方がよっぽどだよねぇ、おー怖い怖い。はっはっはー！,,,R,smile,talk,,25,
157,era,・・・ねえ！オレンドはヴォルカスのこと知ってるの？,,,L,normal,talk,※疑問顔,47,
158,orend,んー？ヴォルカス！？んー...聞いたことあるような...ないような？うーん...それは誰だい？,,,R,normal,talk,,12,
159,era,え？・・・うーん。魔王。,,,L,normal,talk,※疑問顔,20,
160,orend,へえー！魔王はヴォルカスっていうのかあ！,,,R,smile,talk,,9,
161,era,なんで知らないの？,,,L,normal,talk,※驚き顔,46,
162,orend,およよ！？面白いことを聞く子だなあ！あっはっは！人間の世界じゃ、魔王！と呼ばれているだけで、,,,R,normal,talk,,53,
,orend,名前はぜーんぜん聞かなかったから知らなかったよー！ヴォルカス、ヴォルカス！うん！覚えたから今は知ってるさ！,,,R,normal,talk,,23,
164,orend,・・・へ？あっはっはっはっはっはっは！！！本当に面白いちびっこいいらちゃんだなぁ！,,,R,smile,talk,,28,
163,era,オレンドはヴォルカスの友達だったんじゃないの？,,,L,normal,talk,,41,
,orend,俺が魔王のお友達！？あっはっはっはっはっはっはっは！！！,,,R,smile,talk,,8,
165,era,なんで笑うの！？,,,L,angry,talk,,30,
166,orend,はっはっは！はぁ...いや、ごめんごめん。ソーリーソーリー。,,,R,normal,talk,,3,
167,era,むー！,,,L,angry,talk,,22,
168,orend,おぉ！怒った顔も可愛らしいなぁ！はっはっは！,,,R,normal,talk,,12,
169,volcus,真面目に相手をしてやれ。,,,L,smile,talk,,31,
170,orend,はっはっは！わかったわかった。俺はさ！若い時の記憶がないのさ！,,,R,normal,talk,,10,
171,era,そうなの？ほんとに？,,,L,normal,talk,,37,
172,orend,ほんとうさ！こういう話をすると、しみったれな空気になるから嫌なんだけどさ！,,,R,normal,talk,,58,
,orend,記憶があるのは終戦直前にこの劇団に拾われてたってこととー、自分の名前オンリー！何があったんろうだねえ！バットバット！,,,R,normal,talk,,54,
,orend,俺は半魔で魔力は全くないから！多分弱すぎて戦地から逃げたとか、そんなことじゃないかなぁ！って思ってるのさあ！,,,R,normal,talk,,21,
173,era,そうなんだ、それでオレンドは寂しくないの？,,,L,normal,talk,※疑問顔,38,
174,orend,俺が？寂しい？あっはっはっはっはっはっはっはっは！ひーひー！あっはっはっは！,,,R,normal,talk,,8,
175,era,どうして笑うの！,,,L,angry,talk,,49,
176,orend,いやね、どうなんだろうって思ってね。俺はさ！あんまり心ってやつがわからないのさあ！なんだろうなあ！,,,R,smile,talk,,29,
,orend,全くないってわけじゃないんだ。説明するのは難しいけど...,,,R,smile,talk,,33,
,orend,悲しいー、とか、つらいーとか、愛しいー、とかわかんないんだよなあ！,,,R,smile,talk,,5,
177,era,そうなの？,,,L,normal,talk,※疑問顔,44,
178,orend,なんでだろうね！でも悪いことばっかりじゃないよ！自分の感情がない方が役者としては優秀さ！,,,R,normal,talk,,29,
178,orend,グッドグッド！演じる役の心をそのまんま飲み込めるんだから！,,,R,normal,talk,,7,
179,era,・・・ふーん。,,,L,normal,talk,,24,
180,shandy,ちょっと座長ー！どこいったんですかー！・・・あ！,,,R,angry,talk,,27,
181,orend,あらー、ごきげん麗しゅう、シャンディ、今日も綺麗だね！,,,R,normal,talk,,42,
182,shandy,はいはい。練習すっぽかしてどこに行ったかと思ったら...こちらの方々はどなたですか？,,,R,angry,talk,,30,
183,orend,ふっふーん。俺のふれんどの、変なヴェルと魔王の娘イーラ、さ！,,,R,smile,talk,,9,
184,volcus,ふむ。世話になる。,,,L,smile,talk,,13,
185,era,よ、よろしくお願いします。,,,L,normal,talk,,33,
186,orend,で、こちらはこの劇団の名女優！プリマドンナのシャンディちゃんです！,,,R,normal,talk,,35,
186,orend,そしてそしてなんとぉ！俺の婚約者でもあるのさあ！どうだあ！綺麗だろお！,,,R,normal,talk,,20,
187,shandy,はいはい。それで、練習サボってた理由は？,,,R,angry,talk,,36,
188,orend,練習より大事な用事があったからに決まってるじゃないか！ソーリーソーリー！,,,R,normal,talk,,36,
188,orend,大事なフレンドが故郷に帰りたいのにお金がなくて困ってるなんて聞いてねえ！,,,R,normal,talk,,7,
189,volcus,う...うむ。,,,L,confuse,talk,,9,
190,era,・・・すみません。,,,L,confuse,talk,,26,
191,shandy,あなたたちが謝ることではないわ。で、どうするの？座長,,,R,normal,talk,,25,
192,orend,同行すればいいのさー！旅の友は多い方がいいだろー！,,,R,normal,talk,,22,
193,shandy,で、どこまで同行する話になっているのかしら。,,,R,normal,talk,,9,
194,orend,アキュエリまでさ！,,,R,normal,talk,,14,
195,shandy,・・・ちょっときてください。,,,R,angry,talk,,31,
196,orend,へ？あ、ちょ！話はまだ終わってなくて！トーキング、トーキング！,,,R,confuse,talk,,13,
197,shandy,関係ありません。いいから。,,,R,angry,talk,,32,
198,orend,これは！怒られるやつだあああ！ゔぇえええええぇるうう！助けてー！,,,R,cry,talk,,3,
199,volcus,ふむ。,,,L,smile,talk,,6,
200,era,大丈夫かな？,,,R,normal,talk,,12,
201,volcus,まあ..大丈夫であろう。,,,L,smile,talk,,21,
202,era,・・・そっか。ヴェルが言うなら大丈夫だね。,,,R,normal,talk,,0,
,,,,,,,,,#REF!,
2,,ーー奥でシャンディがオレンドに詰め寄る,,,,,none,場面切り替え/背景切り替え,38,025_car_front
3,shandy,アキュエリまでは真っ直ぐ行っても２ヶ月。興行しながら行けば半年近くかかるわ。,,,R,angry,talk,,5,
4,orend,そうさあ！,,,L,smile,talk,,39,
5,shandy,まさかその間ずっと、小さな旅芸人の私たちが稼いだ日銭を差し上げるって話かしら？,,,R,angry,talk,,24,
5,shandy,ねえ？いつから私たちは慈善活動を始めたのかしら。,,,R,angry,talk,,31,
6,orend,あれ？確かに！お金のこと全然考えてなかったなぁ！はっはっはー！,,,L,smile,talk,,6,
7,shandy,なめてるの？,,,R,angry,talk,,12,
8,orend,いっ！ご、ごめんなさい。,,,L,confuse,talk,,14,
9,shandy,で、どうするかは考えてるの？,,,R,angry,talk,,32,
10,orend,んー！まったく。でもなあ！俺はヴェェェルに運命を感じてるのさあ！,,,L,smile,talk,,30,
10,orend,言葉にはできないけど！きっといいことがあると思うんだよなあ！,,,L,smile,talk,,35,
11,shandy,何よそれ。はぁ...でも私は別に降ろしたいと思っているわけじゃないわ。,,,R,angry,talk,,10,
12,orend,お、おや？そうなの？,,,L,smile,talk,,31,
13,shandy,当たり前でしょ。婚約者の友達を無理やり降ろすはずないじゃない。,,,R,angry,talk,,22,
14,orend,おぉお！シャァァンディィィ！サンキューなあ！,,,L,smile,talk,,3,
15,shandy,でも。,,,R,angry,talk,,3,
16,orend,でも？,,,L,normal,talk,,8,
17,shandy,お金は別問題よ。,,,R,angry,talk,,10,
18,orend,・・・ああ！そうだ！,,,L,smile,talk,,4,
19,shandy,なによ。,,,R,angry,talk,,36,
20,orend,ヴェルに演劇に出て貰えばいいんだよー！背も高いし、なんか、貫禄あるしい！,,,L,smile,talk,,13,
21,shandy,・・・まぁ、それでいいわ。,,,R,angry,talk,,55,
22,orend,よーし決まり！シャンディィィありがとー！お金のことなーんにも考えてなかったなぁ！あっはっはー！サンキューなぁ！,,,L,smile,talk,,10,
23,shandy,はぁ...まったく。,,,R,angry,talk,,29,
24,orend,はっはっはー！さんきゅーなぁ！シャンディ、サンキューなぁ！,,,L,smile,talk,,#REF!,
26,volcus,それから私たちはアキュエリの街へ向かう道中、演劇の指導を受けつつ、さまざまな街の様子を見て回ったのだ。,,,,,talk,背景切り替え/BGM切り替え(ドラマティック・シティ),#REF!,034_town
28,,ーーイーラとヴェルが旅の途中の街で,,,,,none,場面切り替え/背景切り替え,12,042_stall
29,era,ねぇヴェル！あれなーに！,,,L,normal,talk,,9,
30,volcus,ふむ。野菜露天だ。,,,R,smile,talk,,17,
31,era,へえー！あの森みたいなのも野菜！？,,,L,normal,talk,,14,
32,volcus,そうだ。ブロッコリーという。,,,R,smile,talk,,24,
33,era,へえー！すごい形ね！あ！あっちは！？かわいいー！,,,L,normal,talk,,16,
34,volcus,ふむ。あれはキャンディーという。,,,R,smile,talk,,13,
35,era,きゃんでぃー？ってなーに？,,,L,normal,talk,,15,
36,volcus,ふむ。口に含んで楽しむものだ。,,,R,smile,talk,,17,
37,era,へえー！甘いの！？しょっぱいの！？,,,L,normal,talk,,10,
38,volcus,甘い味のものが多い。,,,R,smile,talk,,12,
39,era,へえーー。.ふーん...,,,L,normal,talk,,6,
40,volcus,欲しいのか。,,,R,smile,talk,,4,
41,era,いいの？,,,L,normal,talk,,44,
42,volcus,かまわん。演劇がなかなか難しいゆえ、まだあまり賃金がもらえないが...買うことはできる。,,,R,smile,talk,,17,
43,era,やったー！ねえ、私黒いのがいいー！,,,L,smile,talk,,36,
44,volcus,ふむ。店主よ、その黒いものをひとつもらおう...。ふむ。ほら、イーラよ。,,,R,smile,talk,,37,
45,era,にへへ、ヴェルありがとー！いただきまーす！あーんっ！・・・か、かたーい！！,,,L,smile,talk,,13,
46,volcus,ふむ。舐めて楽しむものだ。,,,R,smile,talk,,21,
47,era,そ、そうだったんだ。てへへ。はむ。ん...,,,L,normal,talk,,9,
48,volcus,して、どうなのだ。,,,R,smile,talk,,9,
49,era,・・・まずい...,,,L,confuse,talk,,38,
50,volcus,ほう。店主よ。黒いのは何味なのだ。・・・ほう。イカスミというのか。知らぬな。,,,R,smile,talk,,15,
51,era,・・・ヴェル...うー...。,,,L,normal,talk,,26,
52,volcus,・・・店主よ、すまないがもう一つ、赤いのをもらおう。,,,R,smile,talk,,8,
53,era,・・・何味なの？,,,L,normal,talk,,36,
54,volcus,おそらくいちごという果実の味だ...。黒い方は私が預かろう。（飴を渡す）,,,R,smile,talk,,17,
55,era,ヴェル、いいの？あっ、ありがとう。,,,L,normal,talk,,5,
56,volcus,かまわん。,,,R,smile,talk,,5,
57,era,でも...,,,L,normal,talk,,17,
58,volcus,・・・イカスミとやらが好物である。,,,R,smile,talk,,11,
59,era,ほんとに！？そうなの？,,,L,normal,talk,,5,
60,volcus,う、うむ。,,,R,smile,talk,,#REF!,
62,,ーーその後劇団に戻って,,,,,none,背景切り替え,7,007_theater_company
63,era,ただいまー！！,,,L,normal,talk,,45,
64,orend,おう！おかえりなさぁーい！って、なんじゃそりゃあヴェェェェルゥゥうう！あっはっはっはっは！,,,R,smile,talk,,41,
65,shandy,ふ...ふふふ...こら、座長、人の顔をみて...ぷくく...笑ったら失礼ですよ！,,,R,smile,talk,,14,
66,volcus,私の顔がそんなにおかしいか。,,,L,smile,talk,,27,
67,orend,ああっはっははは！おかしいってそりゃ、はっはっはっは！,,,R,normal,talk,,11,
68,shandy,ふ・・・ふふふ・・・！,,,R,normal,talk,,19,
69,volcus,ふむ。イーラ、私の顔はどうなっておる。,,,L,smile,talk,,2,
70,era,え？,,,R,normal,talk,,23,
71,volcus,ずっと一緒におったのだ、気づいておるのだろう。,,,L,smile,talk,,6,
72,era,・・・口が。,,,R,smile,talk,,3,
73,volcus,口が？,,,L,smile,talk,,10,
74,era,真っ黒...ぷくく。,,,R,smile,talk,,6,
75,volcus,・・・ふむ。,,,L,smile,talk,,#REF!,
77,volcus,日々の演劇練習も私の勤めである。,,,,,talk,場面切り替え/背景切り替え/BGM切り替え(しっぽフリフリ),34,008_during_ theplay
78,,ーーシャンディがヴェルの指導をしているのをイーラとオレンドが見ている,,,,,,,9,
79,era,ヴェルがんばれー！,,,R,normal,talk,,19,
80,shandy,違う！もっと感情を指先まで表現するの！,,,R,angry,talk,打撃ビンタ音のSE,10,
81,volcus,こうか。おぉ！姫よ！,,,L,smile,talk,,27,
82,shandy,違う！何その変な中腰！下げるなら下げる！立つなら立つ！,,,R,angry,talk,打撃ビンタ音のSE,7,
83,volcus,ふ...ふむ。,,,L,smile,talk,,41,
84,shandy,手足が長いんだからしっかり止めるところで止めないとタコみたいになっちゃうんだから。,,,R,angry,talk,,14,
85,volcus,ふむ...。私がタ、タコか。,,,L,confuse,talk,,11,
86,era,ヴェルかっこいいよー！,,,R,normal,talk,,46,
87,orend,おぉ！？よーし。シャンディも可愛いぞー！怒ってる顔もすてきだぜー！キューティーキューティー！,,,R,smile,talk,,10,
88,volcus,こうか。おぉ！姫よ！,,,L,smile,talk,,9,
89,era,ヴェルかっこいー！,,,R,normal,talk,,10,
90,orend,シャンディー素敵ー！,,,R,normal,talk,,25,
91,shandy,はぁ...ヴェルさん、ちょっと待っててくださいね。,,,R,normal,talk,,3,
92,volcus,うむ。,,,L,smile,talk,,30,
93,shandy,（すぅ...）あんたたち！今すぐ出ていきなさい！邪魔なのよ！,,,R,angry,talk,打撃ビンタ音のSE,17,
94,orend,あっはっはっは！怒られちったなぁ！,,,R,smile,talk,,5,
95,era,にへへ〜。,,,R,smile,talk,,28,
