,,,,,,,
,ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,
,28,028_ギルディ,ギルディ,信者たちよ、イルミアとヴォルカスを滅（ほろぼ）し、我が時代を作るのだ！奪え！己と家族と、その末代(まつだい)のために。愛や慈悲で飯は食えぬ！誰が貴様の明日を決めるのだ。そうだ、紛れもない、貴様自身だ！見よ、愛に絆(ほだ)された者たちの姿を！数多くのものが魔に落ちた。なんと嘆かわしい。彼らはいずれ我々、いや、貴様の血族に刃(やいば)を向けるであろう。愛はいずれ憎しみにかわる。止めねばならぬ！我らが隣人共が魔に落ち切る前に！,,,
,29,029_エリス,エリス,ギルディの信者たちは皆、手に武器をとり、イルミアの信者とヴォルカスの仲間たちを殺し回りました。多くの仲間を失ったヴォルカスは憤ります。,,,
,30,030_ヴェル,ヴェル,許さぬ、ギルディ。私の愛する仲間たちを・・・。,,,
,31,031_エリス,エリス,憤怒に任せて剣を振るうヴォルカスはまさに一騎当千。一人で何千、何万もの敵の兵士を蹴散らしました。そして、戦いの最中ふとあることに気ついたのです。,,,
,32,032_ヴェル,ヴェル,私が切り捨てた者たちは、誰なのだろうか。誰と共に暮らし、誰のために戦っているのだろうか。,,,
,33,033_エリス,エリス,ヴォルカスは逡巡します。しかし、聖戦は待ってはくれず、１日また１日と多くの人々の命が地に帰っていくのです。三日三晩思い悩んだヴォルカスは、ふとイルミアに問いかけたのです。,,,
,34,034_ヴェル,ヴェル,イルミア様、私には愛がわからなくなりました。憎しみもわからなくなりました。イルミア様、愛とはなんなのでしょうか。,,,
,35,035_エリス,エリス,イルミアは静かに答えました。私にもわかりません。ただ其方が愛を望むのであれば私は、私の愛を、其方に授けましょう。イルミアの加護を受けたヴォルカスは敵を殺すでもなく、それぞれの国の間を真っ二つに割りました。それが今に残る魔海溝となったのです。,,,
,36,036_イーラ,イーラ,むにゃむにゃ。　ーーキャラクターごとの特徴をイメージしてやってくれればーーー,,,
,37,037_エリス,エリス,クス、こんな本でも寝れるのね。あなたのママにそっくりね。,,,
,38,038_イーラ,イーラ,むにゃ・・・それで・・・ヴォルカスは・・・どうなっ・・たの？？　→むにゃのイメージは首がカクっとなる感じ,,,
,39,039_エリス,エリス,ヴォルカスは、世界に溢れる争いの気を根こそぎ吸い取って、憎しみと破壊の神になりました。その日、世界に魔王が誕生したのでした。,,,
,40,040_イーラ,イーラ,"むにゃ・・・王様になったのね・・・ヴォルカス・・・よかった・・・ね。すぅー。すぅー。（入眠表現）
→ （寝言・寝息）・・・ばぁばー・・・（寝言・寝息）・・・",,,
,,,ト書き,眠りにつくイーラ,,,
,41,041_エリス,エリス,「１０年前、１０００年にもわたる人族と魔族の争いに決着がついた日。今日は、人魔終戦記念日。人々は平和を歌い、勇敢を語り、発展を踊る。歌と踊りを肴に酒飲み語り合う。それが人魔終戦記念祭。１０年で戦争の傷は言えず、人々は復興と貧しさに嘆きながら、それでも力強く生きようとしていた。,,,
,,,ト書き,お祭りで賑やかな田舎町を一人歩くヴェル,,,
,42,042_ヴェル,ヴェル,あの日から今日で１０年。,,,
,43,043_ヴェル,ヴェル,（Ｍ）「私は何をしたいのだろう・・・戦争に負け、最愛の者をなくし、してなお、何かと触れ合いたいとでも思っておるのか。,,,
,44,044_ヴェル,ヴェル,こうも、、私は何を・・・（ため息）。。。,,,
,45,045_オレンド,オレンド,お、どーも。あ、こっちも、まいど！さんきゅーなー！,,,
,46,046_ヴェル,ヴェル,・・・演劇か。このような田舎の町に。珍しい。,,,
,47,047_オレンド,オレンド,ん？へい！そこのにいちゃん！,,,
,48,048_ヴェル,ヴェル,・・それにしても、騒がしい・・・,,,
,49,049_オレンド,オレンド,おいおい！にいちゃん！・・・にいちゃーん！,,,
,50,050_ヴェル,ヴェル,・・・ふむ。私のことか？,,,
,51,051_オレンド,オレンド,おぉ！やっと気づいたか。そうだよ、にいちゃん。なんかすごーい思い詰めた顔してるから気になってな！,,,
,52,052_ヴェル,ヴェル,そのような顔を、しておったか？,,,
,53,053_オレンド,オレンド,そうよ！こんなに明るいおてんとさんと記念祭！なんてハッピーな日なんだ！。。。ってところに、すんげーブルーな顔して歩いてるから、ますます気になっちまったのかもな！,,,
,54,054_ヴェル,ヴェル,すまぬ。暗そうで。あいにくそういう性格なのでな。,,,
,55,055_オレンド,オレンド,ほんとかー？祭りに誘ったガールにお断りされちまったんだろ？,,,
,56,056_ヴェル,ヴェル,・・・,,,
,57,057_オレンド,オレンド,わりいわりい！そーりーそーりー。怒るなって。にいちゃん、名前はなんてんだ！,,,
,58,058_ヴェル,ヴェル,・・・なぜ言わねばならん。,,,
,59,059_オレンド,オレンド,いいじゃねーか！何かのよしみだ！な！俺は役者のオレンド、よろしく。,,,
,60,060_ヴェル,ヴェル,・・・ヴェルという。旅人だ。,,,
,61,061_オレンド,オレンド,おぉー！くーるな名前じゃねーか！ヴェルー！,,,
,62,062_ヴェル,ヴェル,やめろ、絡むな。,,,
,63,063_オレンド,オレンド,んー。なんか、ヴェルとは初めて会った気がしないんだよなぁ！はっはっは！,,,
,64,064_ヴェル,ヴェル,私は全く思わん。・・・冷やかしだけなら私はお暇させてもらうぞ。,,,
,65,065_オレンド,オレンド,おお、おいおいおい、そんな冷たいこと言うなよ！演劇、見てってくれよー！,,,
,66,066_ヴェル,ヴェル,・・・演目はなんだ。,,,
,67,067_オレンド,オレンド,うちの劇団の新作！「魔城(まじょう)の姫君！」魔王に恋した姫様の話さ！,,,
,68,068_ヴェル,ヴェル,断る。,,,
,69,069_オレンド,オレンド,即答！あ！おいおい！待てよゔぇーるー,,,
,70,070_ヴェル,ヴェル,・・・すまぬが興味がない。,,,
,71,071_オレンド,オレンド,ゔぇえええるうう（縋り付く）,,,
,72,072_ヴェル,ヴェル,・・・,,,
,73,073_オレンド,オレンド,ゔぇえええぇえぇぇえるうううう,,,
,74,074_ヴェル,ヴェル,わかった、わかった。わかったわかった。見る、見るので離れろ。,,,
,75,075_オレンド,オレンド,おおし、そうこなくちゃ。いいやつだなぁヴェルは。一名様ごあんなーい！,,,
,76,076_ヴェル,ヴェル,・・・はぁ・・・,,,
,77,077_オレンド,オレンド,はっはっは！不貞腐れんなって！幸せが逃げてくぞー！のーのーあんはっぴーあんはっぴー。楽しい楽しい演劇の世界へいってらっしゃーい。,,,
,,,ト書き,演劇　ここから演劇役者として　女性が魔王に縋り付く,,,
,78,078_演劇-姫,演劇-姫,おぉ！魔王様、私も戦へ連れて行ってくださいませ！あなたの元を離れたくありません！,,,
,79,079_オレンド,オレンド,ならぬ。我が君よ、我はそなたが戦火(せんか)に伏せる姿を。。。我とて、負けぬとは限らないのだ。,,,
,80,080_演劇-姫,演劇-姫,されど！私は人間であります。ここは魔が跋扈(ばっこ)する地にあって、いつこのか弱き命が散るともわかりません。お願いですから、あなたの側にいさせてください！,,,
,81,081_オレンド,オレンド,っく・・・（歯を食いしばって去る）,,,
,82,082_演劇-姫,演劇-姫,魔王様！魔王様！,,,
,,,ト書き,姫の元を離れた魔王が小声で従者を呼び出す,,,
,83,083_オレンド,オレンド,・・・近衛(このえ)よ。,,,
,84,084_演劇-従者,演劇-従者,主よ、及びでしょうか,,,
,85,085_オレンド,オレンド,ふむ。姫のことを頼む。城内には姫のことをよく思わぬ者もおる。・・・容易(ようい)でない仕事ゆえ、そなたにしか任せられぬ。,,,
,86,086_演劇-従者,演劇-従者,ありがたきお言葉。身命を賭してお使えいたします。,,,
,,,ト書き,魔王の訃報(ふほう)を受け取り乱す姫,,,
,87,087_演劇-従者,演劇-従者,姫様！おやめください！,,,
,88,088_演劇-姫,演劇-姫,離して！魔王様が亡くなったのに、この私が生きていることなんて許されない！,,,
,89,089_演劇-従者,演劇-従者,かようなことはありませぬ！姫様は人の身です！人の世が訪れれば、姫様を蔑む魔はすでにおりませぬ！,,,
,90,090_演劇-姫,演劇-姫,人でありながら魔の王を愛したこの身を、死の贖罪(しょくざい)なしに人々が許しましょうか！,,,
,91,091_演劇-従者,演劇-従者,なりません！お気を確かに、たとえ人が許さずとも、私が一生かけてお守りいたします。,,,
,92,092_演劇-姫,演劇-姫,なれば！私をここで見放し、私に縛らるのではなく！そなたの自由を！いずれ戦火もおさまるでしょう。そして魔王なき平和な世を・・・。（泣き崩れる）,,,
,93,093_演劇-従者,演劇-従者,姫様！,,,
,94,094_演劇-姫,演劇-姫,（しくしくと泣き続けて）,,,
,95,095_演劇-従者,演劇-従者,そうまでお気を病まれてはお腹の子にさわります。どうか、私がおりますから、どうか。。。,,,
,96,096_オレンド,オレンド,そうして魔王なきあと、平和となった世を従者と共に見て歩いているそうな。彼女たちに敵意はない。今こそ剣を納め、我々は次の時代へと踏み出さねばならぬ。皆様もいつか魔王の子と出会ったとして、争いの火をくべることなきよう。魔王の子もまた、我々と同じ平和の世に生まれた命なのだから！,,,
,,,ト書き,演劇終わり　拍手喝采のあと、劇場から退場していく。出口の前には演者が並んで観客を見送っている。,,,
,97,097_ヴェル,ヴェル,・・・ふむ・・・。（退場中）,,,
,98,098_オレンド,オレンド,はーい！おかえりなさーい！ありがとー！さんきゅーなー！え？そんな！ちっちゃな劇団ですよ。あっはっは！あ！お次の方もおかえりー！さんきゅーなー！え？握手！照れちゃうなあ！,,,
,,,ト書き,ヴェルがオレンドに気づくと同時に、オレンドもヴェルに気づく。,,,
,99,099_ヴェル,ヴェル,ふむ。オレンドか。。。,,,
,100,100_オレンド,オレンド,おやー？ゔぇーるー！おかえりなさい！さんきゅーなー！,,,
,101,101_ヴェル,ヴェル,なんだその、おかえりなさい、というのは。,,,
,102,102_オレンド,オレンド,演劇の世界からおかえりなさい！って意味さあ！・・・ちょっと芝居がかりすぎかね！,,,
,103,103_ヴェル,ヴェル,ふむ。そのようなことはないと思うが,,,
,104,104_オレンド,オレンド,おぉ、おぉ。さんきゅーな。・・・おや？ゔぇる！泣いてるのかい！そんなに感動しちゃったのかい！？,,,
,105,105_ヴェル,ヴェル,・・・私が？泣く？・・・,,,
,106,106_オレンド,オレンド,お？生まれて初めて泣いたみたいなリアクションだな！,,,
,107,107_ヴェル,ヴェル,いや・・・私の涙は尽きたかと思っていたが・・・,,,
,108,108_オレンド,オレンド,はっはっは！なんだあ！変なヴェルだな！いやー、なんかそうまで感動してもらえるとは、なんか、俺まで・・・,,,
,109,109_ヴェル,ヴェル,茶化すな。くだらん芝居はやめろ。,,,
,110,110_オレンド,オレンド,はっはっは！バレた？,,,
,111,111_ヴェル,ヴェル,・・・オレンド、私はお前を気に入った。褒美として一つだけ、感想を述べてやろう,,,
,112,112_オレンド,オレンド,およ！変わり者のヴェルくんから感想なんて！ぎぶぎぶ！聞いちゃうぜえ。,,,
,113,113_ヴェル,ヴェル,死んだのは魔王ではなく、姫の方だ。,,,
,114,114_オレンド,オレンド,（意外な感想に驚いてちょっと面白がる）・・・へぇ。,,,
,115,115_ヴェル,ヴェル,以上だ。,,,
,116,116_オレンド,オレンド,・・・なあ！ヴェルは半魔だろ？,,,
,117,117_ヴェル,ヴェル,・・・そうだ。,,,
,118,118_オレンド,オレンド,俺もそうなんだ。,,,
,119,119_ヴェル,ヴェル,・・・なぜわかった。全て魔力は封じているはずだが。,,,
,120,120_オレンド,オレンド,いや！俺魔力全くないから、正直人間と魔族の区別は見た目くらいでしかわかんねぇ！・・・けど,,,
,121,121_ヴェル,ヴェル,・・・けど？,,,
,122,122_オレンド,オレンド,なんか、そんな気がしたんだ！はっはっは！運命の出会いってやつかもなー！,,,
,123,123_ヴェル,ヴェル,・・・ふむ、くだらん。私はもういく。後ろが詰まっておるからな。,,,
,124,124_オレンド,オレンド,おぉ！わりい、んじゃ！またどこかで見かけたら、また劇を見に来てくれよ！俺達も旅芸人だからさ、どこかでな！,,,
,125,125_ヴェル,ヴェル,・・・その時は、新作を楽しみしている。,,,
,126,126_オレンド,オレンド,おおよ！そんじゃー、さんきゅーなー！,,,
,127,127_ヴェル,ヴェル,（Ｍ）私は歩き始め、その場からはなれた。後ろから奴のこぎみ良い声が聞こえてくる。なんとも変わった男だ。,,,
,128,128_オレンド,オレンド,おかえりなさーい！さんきゅーなあ！え？ハグ？それはダメだぜマダム！有料なのさぁ！でも今日は気分がいいからタダにしちゃうぜぇ！はっはっは！お次の方もおかえりなさーい！さんきゅーなー！,,,
,,,ト書き,ぼんやりと劇のことを思い出しながら道を歩くヴェル,,,
,129,129_ヴェル,ヴェル,（Ｍ）「・・・ロクシー。物語のように、私ではなく、もし君がこの道を歩いていたら、どう思うだろうか。あの時、君の願いを聞いて戦場に連れていれば、まだ君は生きて私の横にいたのだろうか。私がおらぬ魔王城で、君は何を考えて、何を願っていたのだろうか。」,,,
,130,130_エリス,エリス,イーラや、せっかくのお祭りなんだから、もう少しみんなと遊んできたらどうさね。,,,
,131,131_イーラ,イーラ,いや！みんな私と一緒にいたって、つまんないもん！,,,
,132,132_エリス,エリス,あらあら。そう怒らんと。みんなだって悪気があったわけじゃないんだから。,,,
,133,133_ヴェル,ヴェル,（Ｍ）「あの日から私の心は死に、付き従う仲間の声に奮い立つこともできず。ただ我が軍が負けていく様を他人事のように眺めておった。私までも亡者のようになり、ただ君の亡骸を眺め、気づけばあっという間に骨だけになった。その間に世の中は様変わりし、今やどこを見ても人しかおらぬ。」,,,
,133,133_イーラ,イーラ,じゃあばあばはどう思うの！？私のこの服！,,,
,134,134_エリス,エリス,ばあばは可愛いと思う。けどもね。,,,
,135,135_イーラ,イーラ,じゃあいいの！ばあばが可愛いって言ってくれるなら！（友達の真似風）真っ黒でなんかしみっぽーい、なんて！みんなの方がずっと可愛くないもん！（走り出す）,,,
,136,136_エリス,エリス,あ、これ。,,,
,137,137_イーラ,イーラ,いいんだもーん！みんなとなんか遊ばなー、わっ！（ヴェルにぶつかる）,,,
,138,138_ヴェル,ヴェル,ん？,,,
,139,139_エリス,エリス,おぉ、すみません。前も見ずに,,,
,140,140_イーラ,イーラ,いたた・・,,,
,141,141_ヴェル,ヴェル,気にするな。子供は元気な方がよい。（イーラを見て手を出して）すまぬ、避けることができなかった。,,,
,142,142_イーラ,イーラ,？？（ちょっと驚く）・・・こ、こちらこそごめんなさい。,,,
,143,143_ヴェル,ヴェル,（エリスに向き直り）素直で良い子だ。怪我がなさそうでよかった。では、これで。,,,
,,,ト書き,ぼんやりとまた劇のことを考えながら歩くヴェル。背中から二人の声が聞こえる,,,
,144,144_イーラ,イーラ,・・・変なおじさん。,,,
,145,145_エリス,エリス,これ、イーラが前を見ないで飛び出したからでしょう。,,,
,146,146_イーラ,イーラ,てへへ、優しい人でよかったね。,,,
,,,ト書き,ぼんやりとあてもなく賑やかな街を散歩し、いつの間に日が暮れる。,,,
,147,147_ヴェル,ヴェル,（Ｍ）まったく、街の者は相変わらず賑やかだな。いつまで呑み騒ぐつもりだ。だいぶ中心から離れていると思うが、どこもかしこもお祭り騒ぎだな。,,,
,,,ト書き,その時、ふと不穏な気配を感じる,,,
,148,148_ヴェル,ヴェル,（Ｍ）ん・・・？魔族の血の匂い・・・と、付近に人間の気を感じる・・・？何事かはわからぬが、放ってはおけぬ。,,,
,149,149_貴族兵,貴族兵,貴様、脱走した魔族奴隷がどのような目に遭うのか、わかっているのか。,,,
,150,150_ヴェル,ヴェル,（Ｍ）街の貴族兵と、奴隷か・・・。,,,
,151,151_貴族兵,貴族兵,・・・死んだか？まぁいい。主人より生き死には問わぬと言われておる。そのうち野垂れ死ぬだろう。人目のつかない路地にでも放っておけ！主人には死んだと報告しておく！,,,
,152,152_ヴェル,ヴェル,・・・,,,
,153,153_貴族兵,貴族兵,さて、帰るぞ！見回りの続きだ！,,,
,154,154_ヴェル,ヴェル,（Ｍ）行ったか。まだ息があるようだが・・・治療なしでは死ぬな。,,,
,,,ト書き,貴族兵が去った後、捨てられた魔族の元へいき声をかけてみる,,,
,155,155_ヴェル,ヴェル,大丈夫か。・・・気を失っているか。,,,
,156,156_ヴェル,ヴェル,（Ｍ）魔法を使うのはまずいか。魔族だと気付かれてしまう。とすれば、蘇生の魔法陣か。暖かく、風のない場所があれば・・・。ふむ。とりあえず運ぶか。,,,
,157,157_ヴェル,ヴェル,よっと。すぐ良くしてやるから。死ぬな。,,,
,158,158_ヴェル,ヴェル,（Ｍ）「しかし、おかしい。この奥は建物はあるが、人気が全くないな。・・・今は・・・ちょうどよいか。,,,
,,,ト書き,さらに人気のない方へ歩くと、一件だけ明るいがついた家を見つける。,,,
,159,159_ヴェル,ヴェル,少し下ろすぞ。よっ・・・悪いな。今そこの家のものに一晩匿ってもらえぬか聞いてこよう。,,,
,,,ト書き,家のドアをノックする,,,
,160,160_ヴェル,ヴェル,（Ｍ）不在か・・・？,,,
,,,ト書き,もう一度家のドアをノックする,,,
,161,161_エリス,エリス,はいはい、こんな時間にどちら様ですかねえ？・・・あら。あなたは・・・。,,,
,162,162_ヴェル,ヴェル,夕刻に突然にすま、ぬ・・・昼間のご婦人。,,,
,163,163_エリス,エリス,とんでもございません。何か落とし物でもされましたかね。,,,
,164,164_ヴェル,ヴェル,いや、不躾なお願いだが、一晩だけ泊めてはもらえぬか。そこで傷ついた魔族を見つけた。治療をしたいので暖かい部屋を探しておった。,,,
,165,165_エリス,エリス,（そっと家を出て傷ついた魔族を見つける）おやまあ、これは大変。どうぞどうぞ。古い家ですが、使ってくださいな。,,,
,166,166_ヴェル,ヴェル,・・・断らぬのか。魔族というのに。,,,
,167,167_エリス,エリス,・・・人も魔族も、命ある仲間だと、私は思っています。ある人から引き継いだ心だけれどね。,,,
,168,168_ヴェル,ヴェル,そうか。慈しみある婦人よ。そなたと、その人に感謝する。,,,
,169,169_エリス,エリス,クス、大袈裟な方さね。どうぞ、気をつけて。,,,
,,,ト書き,家に上がって魔法陣の準備をはじめる。,,,
,170,170_ヴェル,ヴェル,婦人よ、汚してよい人が寝れるほどの布はあるか。,,,
,171,171_エリス,エリス,ええ。こちらに。こんな古いシーツでよろしければ。,,,
,172,172_ヴェル,ヴェル,十分だ。,,,
,173,173_エリス,エリス,他にいるものはありますかね。,,,
,174,174_ヴェル,ヴェル,ない。私の血で十分だ。（指を噛んで傷をつける）,,,
,175,175_エリス,エリス,・・・,,,
,176,176_ヴェル,ヴェル,久しぶりに書くな。。。確か、蘇生の魔法陣はこうだったか・・・。,,,
,177,177_エリス,エリス,・・・,,,
,178,178_ヴェル,ヴェル,何をじっと見ておる。やはり珍しいか。,,,
,179,179_エリス,エリス,いえね。昔同じようなことをよくやっている者が近くにおったもので。,,,
,180,180_ヴェル,ヴェル,ふむ。珍しいな。魔法陣は古の時代のものだが。博識なものと親密だったのだな。いや。物好きというべきか・・・。よし。できた。,,,
,181,181_エリス,エリス,・・・,,,
,182,182_ヴェル,ヴェル,"万物を愛す神よ　我が名は　ヴォルカス　ディアブロ　ローイ　今ここで貴方との契(ちぎ)りに反き　母なる大地に眠る命の芽をかの者に与えることをお許しください。しからば、私は貴方様のことを永遠(とわ)に尊ぶでしょう。What a Friend we have in Jesus, What a Friend we have in Jesus.",,,
,,,ト書き,ari,,,
,183,183_ヴェル,ヴェル,・・・ふむ。久々だったが、成功したようだ。,,,
,184,184_エリス,エリス,それはそれは。一安心なのね。,,,
,185,185_ヴェル,ヴェル,そうだ。明日には、痛みは残るが一人で歩けるだろう。,,,
,186,186_エリス,エリス,では、貴方様も一息ついてはいかがですか。コーヒーでも入れましょうか。,,,
,187,187_ヴェル,ヴェル,ふむ・・・いただこう。,,,
,,,ト書き,落ち着いたところに突然ドアが開く,,,
,188,188_イーラ,イーラ,ばあば！お風呂あがったよー！,,,
,189,189_エリス,エリス,まぁイーラや！,,,
,190,190_ヴェル,ヴェル,・・・,,,
,191,191_イーラ,イーラ,い！？なんで昼間のおじさんがいるのよ！ここ私の家よ！,,,
,192,192_ヴェル,ヴェル,勝手に上がってすまぬ。謝ろう。,,,
,193,193_エリス,エリス,すみませんねぇ。お昼に続いてお見苦しいところを・・・こら、イーラやお風呂場で服を着なさいといつも言っているでしょう。（イーラを連れて風呂場へいく）,,,
,194,194_イーラ,イーラ,い！そ、そうだった！・・・ね、狙ったでしょう！この変態！このぉ！,,,
,195,195_エリス,エリス,これこれ、早く服をきなさい。,,,
,196,196_ヴェル,ヴェル,・・・ふむ。すまぬ。,,,
,,,ト書き,服を着て出てきたイーラは魔法陣を見ると怒っていたことをすっかり忘れてヴェルに話かける,,,
,197,197_イーラ,イーラ,へぇー！これおじちゃんがやったの！ねえ！,,,
,198,198_ヴェル,ヴェル,そうだ。,,,
,199,199_イーラ,イーラ,すごい！ねえこれ、古代魔法なんでしょ！,,,
,200,200_ヴェル,ヴェル,そうだ。,,,
,201,201_イーラ,イーラ,なんでおじちゃんはこんな凄いの知ってるの！,,,
,202,202_ヴェル,ヴェル,長生きしてるからな。,,,
,203,203_イーラ,イーラ,そうなの？友達のパパと同じくらいなのに？,,,
,204,204_ヴェル,ヴェル,そうだ。,,,
,205,205_イーラ,イーラ,へぇー・・・。変なのー・・。,,,
,206,206_エリス,エリス,（コーヒーを持ってくる）イーラや、そんなに騒いだら寝ている方が起きてしまうさないの。・・・遅くなりましたね、どうぞ,,,
,207,207_ヴェル,ヴェル,うむ、すまぬ。,,,
,208,208_イーラ,イーラ,ねえ、こっちのおじさんは魔族なの？,,,
,209,209_ヴェル,ヴェル,ん？そうだ。・・・ずずず,,,
,210,210_イーラ,イーラ,へぇ〜。私たちとそんなに変わらないのね。（ぶつぶつ言い始める）,,,
,211,211_ヴェル,ヴェル,うむ。婦人よ、よき味である。,,,
,212,212_エリス,エリス,お口に会いましたか。そういえば・・・私はエリスです。,,,
,213,213_ヴェル,ヴェル,ん？そうか、紹介がまだであったか。私はヴェルという。,,,
,214,214_エリス,エリス,ヴェル様ですか。こちらの子は・・・,,,
,215,215_イーラ,イーラ,（ぶつぶつ）へぇ〜魔法陣ってこうなってるのね・・・,,,
,216,216_エリス,エリス,イーラや、あなたも挨拶したらどうさね？,,,
,217,217_イーラ,イーラ,ん？（何も聞いてなかった）,,,
,218,218_ヴェル,ヴェル,（イーラに向かって）私はヴェルという。,,,
,219,219_イーラ,イーラ,（魔法陣を見ながら）ふーん。ヴェルね。よろしく。,,,
,220,220_ヴェル,ヴェル,ふむ。手強いな。よろしく頼む。,,,
,221,221_エリス,エリス,さてさて、イーラや、もうこんな時間だから、あなたはそろそろお部屋にお戻り。あんまり長く起きてると怖い人たちがさらいに来るさね,,,
,222,222_イーラ,イーラ,えー！もっと見たい！,,,
,223,223_エリス,エリス,ヴェル様は明日までいるそうだから、そんなに焦らなくても逃やしないよぉ。,,,
,224,224_イーラ,イーラ,んー・・・でもぉ・・・んー・・・,,,
,225,225_エリス,エリス,・・・,,,
,226,226_イーラ,イーラ,あー！わかったわよ。寝ます。寝ますー。,,,
,227,227_エリス,エリス,いい子ね。さて、私は片付けがあるから、ヴェル様や、寛いでてください。,,,
,228,228_ヴェル,ヴェル,うむ。世話になる。・・・イーラよ、良き夢を。,,,
,229,229_イーラ,イーラ,（近寄ってきて耳元で）ね！おじさんのお話聞かせて！ばあばがお風呂に入った時に上がってきて！待ってるから！,,,
,230,230_イーラ,イーラ,（エリスに向かって）じゃー！ばあば、おやすみー！,,,
,231,231_エリス,エリス,（台所から）はあい、おやすみさないねー。,,,
,232,232_ヴェル,ヴェル,ふむ・・・。ずずず。（コーヒーを啜る）,,,
,,,ト書き,イーラとエリスの気配が遠かったことを確認して,,,
,233,233_ヴェル,ヴェル,意識が戻ったか。,,,
,234,234_クリシュオラ,クリシュオラ,いっ！気付かれていたか・・・,,,
,235,235_ヴェル,ヴェル,恐れるな。ここは心優しき者の家だ。,,,
,236,236_クリシュオラ,クリシュオラ,・・・こ、これは・・・？,,,
,237,237_ヴェル,ヴェル,私が書いた。古の知恵・・・と、この家の者のシーツだ。,,,
,238,238_クリシュオラ,クリシュオラ,あんたが・・・助けてくれたのか？,,,
,239,239_ヴェル,ヴェル,そうだ。,,,
,240,240_クリシュオラ,クリシュオラ,・・・あんたは・・・？,,,
,241,241_ヴェル,ヴェル,ふむ。今日はよく名を聞かれる。ヴェルである。,,,
,242,242_クリシュオラ,クリシュオラ,俺は・・・クリシュオラ。,,,
