,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,#REF!,背景画像名
77,orend,ああん！？おうおう！レーディ！だあれの顔がゆるゆるふぬけ顔だあ！アングリーしちゃうぜえ！アングリー！,,,R,angry,talk,,5,
78,loxy,あんたよ！,,,L,angry,talk,,53,
79,orend,ほーう！ならこれならいいってかぁ！（術で自分の顔をロクシーの顔に変える）ほーらほーら！クレバーな顔だろー！,,,R,unique,talk,,31,
80,loxy,ちょ！ちょっとあんた！それ私の顔じゃない！私の顔かえしなさい！,,,L,angry,talk,,54,
81,orend,やなこったー！はっはっはー！だいたいロクシーの顔はそこにあんだろー！悔しかったらここまでおいてー！はっはー！,,,R,smile,talk,,41,
82,sara,はぁ。お子様同士、仲良くやってなさいよ。私はもう戻るわ。何事もなかったみたいだし。,,,R,confuse,talk,,38,
83,orend,はっはっはー！俺は若いからモテちゃってしょーがないもんなぁー！はっはっはー！,,,R,normal,talk,,51,
84,sara,お...オレンド...・あんたそれは悪口かしら...？仕事じゃない時にあったら、覚えてなさいよ...。,,,R,angry,talk,,3,
85,volcus,ふむ。,,,L,smile,talk,,8,
86,loxy,・・・サラさん！,,,L,normal,talk,,5,
87,sara,・・・何？,,,R,normal,talk,,40,
88,loxy,トレジャーハンターもね男ばっかりの仕事なんだけど...。女の子同士！よろしくね！,,,L,normal,talk,,8,
89,sara,・・・よろしく。,,,R,normal,talk,,4,
90,loxy,えへへ。,,,L,normal,talk,,38,
91,sara,まったく。城内でも気を抜かないことね。戦争で家族を失った魔族は山ほどいるわ。,,,R,normal,talk,,33,
91,sara,城内は人族を良く思わない魔族ばっかりなんだから。気をつけることね。,,,R,normal,talk,,22,
92,loxy,はい！ありがとー！サラさんは人族のこと嫌い？,,,L,normal,talk,,25,
93,sara,さぁ？あんまり会ったことがないから、わからないわ。,,,R,normal,talk,,4,
94,loxy,そっか！,,,L,normal,talk,,13,
95,sara,満足かしら。失礼するわね。,,,R,normal,talk,,10,
96,,ーーサラが退場する。,,,,,,,11,
97,volcus,ふむ。してオレンドよ。,,,R,smile,talk,,13,
98,orend,はいはーい！なんでしょー！,,,L,normal,talk,,15,
99,volcus,しばらくロクシーの世話を頼む。,,,R,smile,talk,,27,
100,loxy,は！？なんで私がこんな奴と一緒にいなきゃなんないのよ！,,,L,angry,talk,,42,
101,volcus,ふむ。私は多忙ゆえ、な。オレンドも戦のない時は城内でも外でも、付き合ってやるが良い。,,,R,smile,talk,,49,
101,volcus,月の出ている間は古代魔法でもなんでも聞きにくるが良い。人が休む時間帯ゆえ、まだ暇（いとま）がある。,,,R,smile,talk,,25,
102,orend,だ、そうだ！よろしくなあ！ロクシー！はっはっはー！,,,R,normal,talk,,#REF!,
104,,ーー客間に移動しながら会話する二人,,,,,,,25,
105,loxy,もう！せっかく古代魔法のこと聞けるって思ったのに！,,,L,angry,talk,,43,
106,orend,んー？夜まで待てば話を聞けるんだろー。うぇいとうぇいと！のんびり待てばいいじゃねーか！,,,R,normal,talk,,50,
107,loxy,じゃあその間どうしたらいいのよ！こんな自由に動き回れない城で、あぁ。じっとしてるのが一番嫌いなのに。,,,L,angry,talk,,29,
108,orend,はっはっはー！いいじゃねぇか、たまにはのんびりしよーぜー！,,,R,normal,talk,,18,
109,loxy,・・・あんたはいいわよね、能天気で。,,,L,normal,talk,,25,
110,orend,およよ！？はっはっはー！ハッピーだぜえ！すんげー！,,,R,smile,talk,,7,
111,loxy,はああぁぁあ。,,,L,normal,talk,,26,
112,orend,ロクシーはさあ、古代文明が好きだったんだっけ？なぁ！,,,R,smile,talk,,4,
113,loxy,そうよ。,,,L,normal,talk,,31,
114,orend,へえー！面白いロクシーだなぁ！で、なんであんなのが好きなのよ？,,,R,normal,talk,,59,
115,loxy,うーんとね。なんとも言えないあの古臭ぁいけど、存在感がある遺物が大好きなの...良く見るとそれぞれ模様が違ってねえー！,,,L,normal,talk,,4,
116,orend,ほおー！,,,R,normal,talk,,51,
117,loxy,調べて組み合わせたりして、この世界の真理を読み解いていくような気がするのよ！ああぁ...あぁああ...,,,L,normal,talk,,21,
118,orend,おいおい、ロクシー、よだれが垂れてるぞー。,,,R,normal,talk,,22,
119,loxy,は！！（ずるずる）ちょ！ちょっと見ないでよ！,,,L,angry,talk,,31,
120,orend,はっはっは！見ないでって、二人でいるんだから、そりゃ無理だろ！,,,R,normal,talk,,8,
121,loxy,そ、それでもよ！,,,L,angry,talk,,59,
122,orend,はっはっは！まぁまぁ。じゃあさ！俺いい場所知ってんだあ！詳しくは知らねーんだけどよ、この城は昔は神殿だったらしくてさ！,,,R,normal,talk,,29,
123,loxy,え！・・・まさか！そっか。魔物の地は神代イルミアの納めた地,,,L,normal,talk,,44,
,loxy,ここはイルミアが納めた地、そして魔物の地の中心は魔王城...ということは。え！じゃあ！？,,,L,normal,talk,,28,
124,orend,おお！なんかビビッときてるみたいだなぁ！でな、でな...,,,R,normal,talk,,#REF!,
