,,,,,,,,,,
ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,,,,,
22,,１０年で戦争の傷は言えず、人々は復興と貧しさに嘆きながら、それでも力強く生きようとしていた。,,,,normal,talk,テキストのみ,46,
23,volcus,あの日から今日で１０年。,,,L,cry,talk,※現状のcryの表情だとここの場面は泣きすぎな感じはしますが、ヴェルの感情的に一番近いのはcryだったのでcryにしています。以後も同じような場面があれば「落ち込み顔」と書きます。,12,
24,volcus,私は何をしたいのだろう...戦争に負け、最愛の者をなくし、してなお、何かと触れ合いたいとでも思っておるのか。,,,L,cry,talk,※落ち込み顔,54,
25,volcus,こうも...私は何を...,,,L,cry,talk,※落ち込み顔,13,
26,orend,お、どーも。あ、こっちも、まいど！サンキューなー！,,,R,smile,talk,背景切り替え,25,007_theater_company
27,volcus,・・・演劇か。このような田舎の町に。珍しい。,,,L,smile,talk,,22,
28,orend,ん？へい！そこのにいちゃん！,,,R,normal,talk,,14,
29,volcus,・・それにしても、騒がしい...,,,L,smile,talk,,16,
30,orend,おいおい！にいちゃん！・・・にいちゃーん！,,,R,normal,talk,,21,
31,volcus,・・・ふむ。私のことか？,,,L,smile,talk,,12,
32,orend,おぉ！やっと気づいたか。そうだよ、にいちゃん。なんかすごーい思い詰めた顔してるから気になってな！,,,R,smile,talk,,48,
33,volcus,そのような顔を、しておったか？,,,L,smile,talk,,15,
34,orend,そうよ！こんなに明るいおてんとさんと記念祭！なんてハッピーな日なんだ！,,,R,normal,talk,,35,
35,orend,...ってところに、すんげーブルーな顔して歩いてるから、ますます気になっちまったのかもな！,,,R,normal,talk,,45,
36,volcus,すまぬ。暗そうで。あいにくそういう性格なのでな。,,,L,smile,talk,,24,
37,orend,ほんとかー？祭りに誘ったガールにお断りされちまったんだろ？,,,R,smile,talk,,29,
38,volcus,・・・,,,L,confuse,talk,,3,
39,orend,わりいわりい！ソーリーソーリー。怒るなって。にいちゃん、名前はなんてんだ！,,,R,normal,talk,,37,
40,volcus,・・・なぜ言わねばならん。,,,L,angry,talk,,13,
41,orend,いいじゃねーか！何かのよしみだ！な！俺は役者のオレンド、よろしく。,,,R,normal,talk,,33,
42,volcus,・・・ヴェルという。旅人だ。,,,L,smile,talk,,14,
43,orend,おぉー！クールな名前じゃねーか！ヴェルー！,,,R,smile,talk,,21,
44,volcus,やめろ、絡むな。,,,L,confuse,talk,,8,
45,orend,んー。なんか、ヴェルとは初めて会った気がしないんだよなぁ！はっはっは！,,,R,smile,talk,,35,
46,volcus,私は全く思わん...。冷やかしだけなら私はお暇させてもらうぞ。,,,L,confuse,talk,,31,
47,orend,おお、おいおいおい、そんな冷たいこと言うなよ！演劇、見てってくれよー！,,,R,smile,talk,,35,
48,volcus,・・・演目はなんだ。,,,L,smile,talk,,10,
49,orend,うちの劇団の新作！「魔城(まじょう)の姫君！」魔王に恋した姫様の話さ！,,,R,normal,talk,,35,
50,volcus,断る。,,,L,confuse,talk,,3,
51,orend,即答！あ！おいおい！待てよヴェールー。,,,R,cry,talk,,19,
52,volcus,・・・すまぬが興味がない。,,,L,smile,talk,,13,
53,orend,ゔぇえええるうう（縋り付く）,,,R,cry,talk,,14,
54,volcus,・・・,,,L,confuse,talk,,3,
55,orend,ゔぇえええぇえぇぇえるうううう,,,R,confuse,talk,,15,
56,volcus,わかった、わかった。わかったわかった。見る、見るので離れろ。,,,L,confuse,talk,,30,
57,orend,おおし、そうこなくちゃ。いいやつだなぁヴェルは。一名様ごあんなーい！,,,R,smile,talk,,34,
58,volcus,・・・はぁ...,,,L,confuse,talk,,8,
59,orend,はっはっは！不貞腐れんなって！幸せが逃げてくぞー！ノーノーアンハッピーアンハッピー。,,,R,smile,talk,,42,
60,orend,楽しい楽しい演劇の世界へいってらっしゃーい。,,,R,normal,talk,,22,
61,,,,,,,none,転換のための空白/背景切り替え,0,008_during_ theplay
62,silhouette_woman,おぉ！魔王様、私も戦へ連れて行ってくださいませ！あなたの元を離れたくありません！,,,R,angry,talk,,40,
63,silhouette_man,ならぬ。我が君よ、我はそなたが戦火に伏せる姿を...我とて、負けぬとは限らないのだ。,,,L,angry,talk,,42,
64,silhouette_woman,されど！私は人間であります。ここは魔が跋扈(ばっこ)する地にあって、いつこのか弱き命が散るともわかりません。,,,R,angry,talk,,49,
65,silhouette_woman,お願いですから、あなたの側にいさせてください！,,,R,angry,talk,,23,
66,silhouette_man,っく...,,,L,angry,talk,,5,
67,silhouette_woman,魔王様！魔王様！,,,R,angry,talk,,8,
68,,,,,,,none,場面の転換,0,
69,silhouette_man,・・・近衛よ。,,,L,angry,talk,,7,
70,silhouette_woman,主よ、お呼びでしょうか,,,R,angry,talk,,10,
71,silhouette_man,ふむ。姫のことを頼む。城内には姫のことをよく思わぬ者もおる...。容易でない仕事ゆえ、そなたにしか任せられぬ。,,,L,angry,talk,,55,
72,silhouette_woman,ありがたきお言葉。身命を賭してお使えいたします。,,,R,angry,talk,,24,
