,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,#REF!,背景画像名
58,volcus,・・・イカスミとやらが好物である。,,,R,smile,talk,,11,
59,era,ほんとに！？そうなの？,,,L,normal,talk,,5,
60,volcus,う、うむ。,,,R,smile,talk,,#REF!,
62,,ーーその後劇団に戻って,,,,,none,背景切り替え,7,007_theater_company
63,era,ただいまー！！,,,L,normal,talk,,45,
64,orend,おう！おかえりなさぁーい！って、なんじゃそりゃあヴェェェェルゥゥうう！あっはっはっはっは！,,,R,smile,talk,,41,
65,shandy,ふ...ふふふ...こら、座長、人の顔をみて...ぷくく...笑ったら失礼ですよ！,,,R,smile,talk,,14,
66,volcus,私の顔がそんなにおかしいか。,,,L,smile,talk,,27,
67,orend,ああっはっははは！おかしいってそりゃ、はっはっはっは！,,,R,normal,talk,,11,
68,shandy,ふ・・・ふふふ・・・！,,,R,normal,talk,,19,
69,volcus,ふむ。イーラ、私の顔はどうなっておる。,,,L,smile,talk,,2,
70,era,え？,,,R,normal,talk,,23,
71,volcus,ずっと一緒におったのだ、気づいておるのだろう。,,,L,smile,talk,,6,
72,era,・・・口が。,,,R,smile,talk,,3,
73,volcus,口が？,,,L,smile,talk,,10,
74,era,真っ黒...ぷくく。,,,R,smile,talk,,6,
75,volcus,・・・ふむ。,,,L,smile,talk,,#REF!,
77,,日々の演劇練習も私の勤めである。,,,,,talk,場面切り替え/背景切り替え/BGM切り替え(しっぽフリフリ),34,008_during_ theplay
78,,ーーシャンディがヴェルの指導をしているのをイーラとオレンドが見ている,,,,,,,9,
79,era,ヴェルがんばれー！,,,R,normal,talk,,19,
80,shandy,違う！もっと感情を指先まで表現するの！,,,R,angry,talk,打撃ビンタ音のSE,10,
81,volcus,こうか。おぉ！姫よ！,,,L,smile,talk,,27,
82,shandy,違う！何その変な中腰！下げるなら下げる！立つなら立つ！,,,R,angry,talk,打撃ビンタ音のSE,7,
83,volcus,ふ...ふむ。,,,L,smile,talk,,41,
84,shandy,手足が長いんだからしっかり止めるところで止めないとタコみたいになっちゃうんだから。,,,R,angry,talk,,14,
85,volcus,ふむ...。私がタ、タコか。,,,L,confuse,talk,,11,
86,era,ヴェルかっこいいよー！,,,R,normal,talk,,46,
87,orend,おぉ！？よーし。シャンディも可愛いぞー！怒ってる顔もすてきだぜー！キューティーキューティー！,,,R,smile,talk,,10,
88,volcus,こうか。おぉ！姫よ！,,,L,smile,talk,,9,
89,era,ヴェルかっこいー！,,,R,normal,talk,,10,
90,orend,シャンディー素敵ー！,,,R,normal,talk,,25,
91,shandy,はぁ...ヴェルさん、ちょっと待っててくださいね。,,,R,normal,talk,,3,
92,volcus,うむ。,,,L,smile,talk,,30,
93,shandy,（すぅ...）あんたたち！今すぐ出ていきなさい！邪魔なのよ！,,,R,angry,talk,打撃ビンタ音のSE,17,
94,orend,あっはっはっは！怒られちったなぁ！,,,R,smile,talk,,5,
95,era,にへへ〜。,,,R,smile,talk,,28,
96,orend,でもやっぱり怒った顔もかわいいぜえー！ビューティフォー！,,,R,smile,talk,,22,
97,shandy,いいから！すぐ！出ていきなさい！さっさと！！,,,R,angry,talk,打撃ビンタ音のSE,33,
98,orend,あら、ほんとに怒っちゃったかも！あっはっは！いこーぜー！イーラー！,,,R,smile,talk,,13,
99,era,うん！ヴェルがんばってね！,,,R,smile,talk,,#REF!,
101,volcus,イーラもすっかり馴染んだものだ。人見知りせず、皆と打ち解けてられている。ふっ..誰に似たのやら。,,,L,smile,talk,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),#REF!,024_rest_rooms
103,shandy,あら？イーラちゃん、一人で珍しいわね。,,,R,normal,talk,,8,
104,era,んー？そうかな？,,,L,normal,talk,,10,
105,shandy,ん？何か書いてるの？,,,R,normal,talk,,7,
106,era,うんー、脚本。,,,L,normal,talk,,16,
107,shandy,へえー。どんなお話を書いてるの？,,,R,normal,talk,,9,
108,era,ママのおはなしー。,,,L,normal,talk,,4,
109,shandy,へえー。,,,R,normal,talk,,12,
110,era,ヴェルが教えてくれるの！,,,L,normal,talk,,20,
111,shandy,そうなんだ...。ねっ、どんなお話なの？,,,R,normal,talk,,14,
112,era,うーんとね、えーっとー...,,,L,normal,talk,,#REF!,
114,,ーーサラがヴォルカスに話かける。,,,,,none,場面切り替え/BGM切り替え(Old_Style)/背景切り替え,41,028_Inside_Castle
115,sara,ヴォルカス様、何やら海岸沿いの街で人族の娘が暴れていると報告があったのですが...,,,R,normal,talk,,11,
116,volcus,人族の娘？ふむ...。,,,L,smile,talk,,45,
117,sara,船などを見かけた者はおらず、港があるような場所でもなく。私たちが知らぬ術を用いるそうです。,,,R,normal,talk,,15,
118,volcus,ふむ。オレンドはどうしている。,,,L,smile,talk,,19,
119,sara,今は人族の地の侵攻へ向かっております。,,,R,normal,talk,,23,
120,volcus,そうか。では、私が様子を見てくることとしよう。,,,L,smile,talk,,42,
121,sara,！？・・・差し出がましいですが、敵の正体は不明なんです...。万が一でもあれば...,,,R,normal,talk,,15,
122,volcus,私に万が一があるというのだな？,,,L,smile,talk,,14,
123,sara,い、いえ...失礼しました。,,,R,normal,talk,,38,
124,volcus,ふむ...。いや、すまなかった。忘れてくれ。どうにもそなたには甘えてしまう。,,,L,smile,talk,,11,
125,sara,・・・どうされました。,,,R,normal,talk,,49,
126,volcus,普通に考えればそなたの言うことが正しい。大将の私が迂闊に外にでるなどと抜かした私が悪いのだ...。,,,L,smile,talk,,55,
,volcus,だが、私も魔王である前に一人の魔族なのだ...。私も時にはただの魔族として外に出て知らぬ何かを見てみたいのだ。,,,L,smile,talk,,28,
,volcus,堅苦しい思いをし続けるのはどうも肩がこってしまうのでな。,,,L,smile,talk,,54,
127,sara,ふっ...そうなのですね。でも私もヴォルカス様に魔王様としてのあり方を求めすぎていました。申し訳ありません。,,,R,normal,talk,,43,
128,volcus,いや、いいのだ。サラよ。そなたも外に出たくなったら言うと良い。すぐにでも聞き届けよう。,,,L,smile,talk,,14,
129,sara,はい。ありがとうございます。,,,R,normal,talk,,31,
130,volcus,では、様子を見てこよう。何事もなく帰ってくる。安心すると良い。,,,L,smile,talk,,31,
131,sara,わかりました。お気をつけて。必ずご無事に帰ってきてくださいね。,,,R,smile,talk,,#REF!,
