,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,#REF!,背景画像名
31,shandy,・・・あなたはオレンドが失った記憶を取り戻せるのかしら。,,,R,normal,talk,,3,
32,volcus,あぁ。,,,L,smile,talk,,22,
33,shandy,や、やっぱりそうなのね...！じゃ、じゃあ！,,,R,normal,talk,,35,
34,volcus,待て、シャンディよ。オレンド、そなたはどう思う。記憶を取り戻したいか？,,,L,smile,talk,,31,
35,orend,あー...あんまり真面目なの得意じゃねえんだけどなぁー...。,,,R,normal,talk,,3,
36,shandy,・・・,,,R,normal,talk,,40,
37,orend,うーん...記憶が戻った時、俺は今の俺のままでいられるのかなぁ、って思うわけよ。,,,R,normal,talk,,31,
38,orend,今は劇団のみんなと旅をするのが楽しい！ベリーハッピーだからな！,,,R,smile,talk,,32,
,orend,だからみんなとの今が崩れちゃうんじゃないかって...心配なんだ。,,,R,smile,talk,,3,
39,volcus,ふむ。,,,L,smile,talk,,58,
40,orend,でも、俺がどう生きてきたのか、ヴェルたちが話す俺が本当に俺なら。何があったのか知りたい気持ちもあるんだよなぁ...。,,,R,normal,talk,,46,
41,shandy,確かにそうね...あなたの記憶が戻ったら、今のオレンドじゃなくなるのかもしれないのね...。,,,R,confuse,talk,,33,
42,volcus,ふむ。だが、私からしたらそなたは、今も昔も私の知るオレンドである。,,,L,smile,talk,,9,
43,orend,そっかあー...。,,,R,normal,talk,,21,
44,era,くぅー。ゔぇるー。くぅー。お話ー。くぅー。,,,L,normal,talk,,56,
45,volcus,ふむ。イーラからそなたに流れようとしている魔素がある。オレンドよ、これはそなたの魔素だ。気づいておらぬのだろう。,,,L,smile,talk,,16,
46,orend,ん？まぁ、俺は見えないからなぁ。,,,R,normal,talk,,38,
47,volcus,そうであろう。おそらく長らくイーラの中にあり、もう役目を果たしたのであろう。,,,L,smile,talk,,20,
48,orend,俺が何かしたかもしれないってこと、かい。,,,R,normal,talk,,10,
49,volcus,そうだ...。ふむ。,,,L,smile,talk,,8,
50,shandy,・・・私は...,,,R,cry,talk,,5,
51,orend,・・・ん？,,,R,normal,talk,,34,
52,shandy,・・・私は、あなたにとって私より大切な人がいたとしてもかまいません。,,,R,normal,talk,,8,
53,orend,シャンディ...,,,R,normal,talk,,39,
54,shandy,あなたはきっとこの劇団以外の世界を知らないから。それって切ないことだと思うの。,,,R,cry,talk,,31,
54,shandy,あなたは昔のことを話す時、いつもちょっと寂しそうな顔をするの。,,,R,cry,talk,,28,
55,orend,あはは、そりゃ、記憶がなけりゃ誰だってそんな顔するだろ。,,,R,normal,talk,,24,
56,shandy,どんな時でも笑顔で楽しそうに笑うあなただからよ。,,,R,cry,talk,,59,
56,shandy,演目の出来が悪くて散々なブーイングをされた時も、一日中呼び込みをしてもお客さんが入らなかった時もいつだって笑顔だったわ,,,R,cry,talk,,58,
56,shandy,あなたの笑顔にどれだけ勇気づけられたことか。そんなあなたがふと、過去の話をするときだけは、とても辛そうな顔をするの。,,,R,cry,talk,,16,
57,orend,うーん、そんな顔しちまってたか。,,,R,normal,talk,,59,
58,shandy,だから、私より大切な人がいたとしても構いません。覚悟はできています。ヴェルさん、オレンドの記憶を戻すことができますか？,,,R,cry,talk,,9,
59,volcus,ふむ。オレンドよ。,,,L,smile,talk,,49,
60,orend,多分...本当は思い出したいんだ..。でも、俺、昔は実はすげー悪いやつだったんじゃないか..って。,,,R,smile,talk,,52,
60,orend,自分がいい奴だなんてちっとも思ったことなくて..。だから過去に何か悪いことをしてたんじゃないかって..。,,,R,smile,talk,,55,
60,orend,だから思い出すのがすごく怖い。それから、俺は記憶がないからって罪を償わずにいるってのはなんかできなくてな..。,,,R,smile,talk,,45,
61,orend,だから、半魔の俺でもできて、みんなを笑顔に、幸せにするために何かやりたいって思ってたんだ。,,,R,smile,talk,,34,
,orend,そんな時にこの演劇団に拾ってもらってほんっとに良かったと思ってんだ。,,,R,smile,talk,,7,
62,shandy,オレンド...,,,R,normal,talk,,42,
63,orend,だからさ、どんなにひどく言われたって、どんなに惨めに扱われたって、全く辛くなかった。,,,R,normal,talk,,57,
63,orend,俺にはなーんにもなかったから。...でもずっと刺さるんだ。俺は誰で、どこからきて、なぜ今ここにいるんだろう。って。,,,R,normal,talk,,58,
63,orend,１から知ってる人はいいさ。気づいた時には何にもねぇ頭んなかと、ぽっかり穴のあいた心。隠してきたつもりだったけどなぁー。,,,R,normal,talk,,3,
64,volcus,ふむ。,,,L,smile,talk,,30,
65,orend,ヴェル...あ、ちょっとまってくれ。シャンディ（キスをする）,,,R,normal,talk,,9,
66,shandy,あ、ちょ、ん...,,,L,shyness,talk,※照れ顔のシャンディがあったのでそれで。,40,
67,orend,・・・うーしっ！大丈夫だ！かむかーむ。ヴェルゥゥゥゥ！俺に記憶を、くれくれえい！,,,R,normal,talk,,54,
68,volcus,うむ。良き心がけだ。少々辛いと思うが、オレンドは大丈夫であろう。行き場を失った魔素よ。主人の元へ変えるのだ。,,,L,smile,talk,魔法のSE,11,
69,orend,グッ！！あ...あああ,,,R,confuse,talk,,6,
70,shandy,オレンド！！,,,L,confuse,talk,,#REF!,
